,data,precalculated,result
316,494.782,501.994,501.9935506315226
317,507.508,505.278,505.27837059005
318,500.543,508.374,508.3743236076692
319,503.982,511.486,511.48603983304963
320,518.21,514.824,514.8238088036665
321,517.556,518.095,518.0949947529377
322,514.338,521.25,521.2500553060748
323,517.732,524.419,524.4190419947946
324,531.818,527.81,527.8104875733421
325,527.178,531.057,531.0565545444606
326,530.427,534.313,534.3125544125332
327,526.038,537.429,537.4291007068199
328,534.864,540.666,540.665557640339
329,543.709,544.021,544.0210924611556
330,550.313,547.451,547.4507053422034
331,538.162,550.587,550.5870494406629
332,545.473,553.813,553.81316562797
333,562.721,557.322,557.3223940974718
334,563.116,560.782,560.7824871387031
335,560.368,564.132,564.1323237243739
336,558.133,567.383,567.3828540405237
337,565.534,570.723,570.7233855759597
338,563.077,573.96,573.9601382355851
339,573.404,577.344,577.3441059753334
340,581.207,580.824,580.8244344310127
341,576.707,584.159,584.1593472674733
342,587.047,587.641,587.640557378294
343,590.014,591.122,591.1222708977668
344,594.418,594.632,594.632508539429
345,601.54,598.224,598.2241147359156
346,591.999,601.57,601.5699127007805
347,592.436,604.867,604.8675146019394
348,606.362,608.381,608.3814973765058
349,603.582,611.782,611.7824778175121
350,612.524,615.301,615.3010713870365
351,609.893,618.709,618.7093143497475
352,611.995,622.101,622.1008929356195
353,622.116,625.633,625.6330358075678
354,618.328,629.032,629.0316995758877
355,636.111,632.721,632.72090134415
356,630.15,636.232,636.2323038750211
357,629.67,639.675,639.6749380262551
358,631.731,643.099,643.0991846028978
359,646.799,646.76,646.760217613179
360,641.018,650.247,650.2467871247347
361,649.519,653.841,653.8405857563486
362,665.178,657.681,657.6809325810881
363,657.164,661.301,661.3009369602264
364,663.66,664.987,664.9872710902245
365,673.173,668.798,668.7984102760855
366,678.726,672.655,672.6553486373749
367,679.399,676.462,676.461752901477
368,673.508,680.089,680.0891358152097
369,677.887,683.741,683.7406911338867
370,677.551,687.324,687.3235258261598
371,680.192,690.897,690.8966475436032
372,699.857,694.794,694.794345143
373,704.16,698.712,698.7117688527553
374,689.442,702.275,702.2750493325468
375,698.23,705.949,705.9491213617628
376,703.372,709.661,709.6612299455633
377,713.231,713.504,713.5035817608484
378,722.311,717.46,717.4595353452152
379,721.681,721.337,721.3371232837553
380,713.579,724.99,724.9901581115258
381,724.581,728.796,728.7960732937228
382,721.684,732.48,732.4801836380805
383,725.713,736.18,736.1796704035869
384,746.38,740.221,740.2213128896907
385,733.435,743.941,743.9410769963865
386,748.207,747.887,747.8867607773664
387,749.983,751.801,751.8006322129542
388,761.54,755.875,755.8751797851218
389,748.26,759.62,759.620435811349
390,755.14,763.436,763.4358280922851
391,756.138,767.205,767.2049375994023
392,760.191,770.988,770.9881921329774
393,768.262,774.864,774.8643877098027
394,785.857,779.02,779.0198555186707
395,785.326,783.095,783.0953138838074
396,782.329,787.043,787.0429037507788
397,780.891,790.894,790.8944060374517
398,791.361,794.885,794.8848922931566
399,795.676,798.892,798.8918544104084
400,804.325,803.0,803.0002972966681
401,799.344,806.941,806.940980030156
402,807.759,810.979,810.9789770069091
403,819.817,815.185,815.1849394356074
404,816.41,819.253,819.2528392261576
405,820.055,823.323,823.3226582509539
406,833.782,827.593,827.5926792581903
407,822.365,831.566,831.5660396729705
408,840.186,835.821,835.8209030904961
409,840.196,840.004,840.0039172200578
410,848.279,844.275,844.274553109821
411,837.432,848.259,848.2592547693542
412,846.122,852.345,852.3452287876681
413,855.192,856.539,856.5388910485837
414,847.714,860.513,860.5133525465857
415,866.123,864.78,864.7802372825471
416,871.052,869.071,869.0712602775068
417,876.203,873.39,873.3904475156861
418,863.666,877.389,877.3891716436218
419,874.03,881.521,881.5213074151826
420,875.678,885.614,885.6138716908673
421,887.632,889.87,889.8700780395313
422,900.337,894.303,894.3030422286225
423,888.743,898.432,898.4324760731025
424,902.071,902.752,902.751951643868
425,904.624,907.047,907.0473567448266
426,912.037,911.415,911.414523709271
427,917.339,915.811,915.8110813169847
428,911.167,920.011,920.0106692631472
429,910.566,924.125,924.1248007429148
430,920.706,928.366,928.365753526628
431,923.89,932.595,932.59521763653
432,940.271,937.073,937.0731335899902
433,934.595,941.363,941.3625663352987
434,933.39,945.553,945.5532915342764
435,946.962,949.937,949.9372315771269
436,940.554,954.119,954.1188772387325
437,949.077,958.394,958.3941937259993
438,959.758,962.805,962.8046986775792
439,957.11,967.086,967.0864308091717
440,974.554,971.636,971.6363235440774
441,967.126,975.962,975.9617304304949
442,969.593,980.26,980.2596420510042
443,974.379,984.576,984.5759180051793
444,993.676,989.196,989.1961587045458
445,1000.0,993.864,993.8617510271308
446,990.298,998.258,998.2564155941528
447,1006.0,1003.0,1002.8831441504627
448,995.695,1007.0,1007.2272219119869
449,1015.0,1012.0,1011.8746386241713
450,1004.0,1016.0,1016.2253023250869
451,1023.0,1021.0,1020.8730388678418
452,1022.0,1025.0,1025.420833343658
453,1032.0,1030.0,1030.0862700763812
454,1027.0,1035.0,1034.572564921152
455,1039.0,1039.0,1039.2162944290774
456,1036.0,1044.0,1043.7202891367128
457,1043.0,1048.0,1048.2828316243929
458,1043.0,1053.0,1052.7653354905651
459,1048.0,1057.0,1057.2669989217222
460,1060.0,1062.0,1061.925471845673
461,1067.0,1067.0,1066.6406182631654
462,1066.0,1071.0,1071.254149322897
463,1079.0,1076.0,1076.0428030305252
464,1071.0,1081.0,1080.5909851932747
465,1088.0,1085.0,1085.393534085287
466,1094.0,1090.0,1090.2311322146547
467,1096.0,1095.0,1095.0245051133986
468,1102.0,1100.0,1099.852786450918
469,1096.0,1105.0,1104.4790654311462
470,1107.0,1109.0,1109.2401832484743
471,1117.0,1114.0,1114.1150290118783
472,1116.0,1119.0,1118.8856315811172
473,1119.0,1124.0,1123.6317135081429
474,1126.0,1128.0,1128.4322325195892
475,1127.0,1133.0,1133.1683245827837
476,1126.0,1138.0,1137.8011018629436
477,1144.0,1143.0,1142.7058846484529
478,1149.0,1148.0,1147.6237598917328
479,1139.0,1152.0,1152.2588987899026
480,1150.0,1157.0,1157.027772130098
481,1155.0,1162.0,1161.8107569468407
482,1170.0,1167.0,1166.804682339802
483,1171.0,1172.0,1171.7315088868634
484,1171.0,1177.0,1176.572068817889
485,1167.0,1181.0,1181.2482699120435
486,1175.0,1186.0,1185.9980936025513
487,1182.0,1191.0,1190.8010347428117
488,1193.0,1196.0,1195.73531420194
489,1189.0,1201.0,1200.5039608808875
490,1200.0,1205.0,1205.404085430581
491,1212.0,1211.0,1210.454026036877
492,1218.0,1216.0,1215.5339828936433
493,1215.0,1221.0,1220.466190084003
494,1228.0,1226.0,1225.5672828201607
495,1235.0,1231.0,1230.71727458865
496,1226.0,1236.0,1235.6002645371514
