,data,precalculated,result,Diff
141,100.146,100.341,100.3409538,4.61914E-05
142,104.463,101.836,101.8355699,0.000430071
143,105.91,103.341,103.340595,0.000405024
144,107.671,104.861,104.8611973,0.000197311
145,100.101,106.237,106.23654,0.000460032
146,104.17,107.667,107.6671389,0.000138945
147,99.696,109.004,109.004417,0.000416973
148,102.772,110.38,110.3798458,0.000154191
149,106.726,111.809,111.8088329,0.000167056
150,111.04,113.298,113.297726,0.000274027
151,112.555,114.797,114.7968708,0.000129241
152,123.351,116.471,116.4713238,0.000323805
153,109.697,117.884,117.884075,7.49554E-05
154,116.424,119.4,119.4003873,0.000387338
155,111.098,120.803,120.8030572,5.7173E-05
156,112.38,122.211,122.2113696,0.000369553
157,116.936,123.685,123.6846007,0.000399339
158,129.283,125.364,125.3644087,0.000408729
159,128.925,127.018,127.0184316,0.000431627
160,119.19,128.475,128.4747358,0.000264183
161,132.105,130.15,130.1495922,0.000407766
162,133.7,131.834,131.8338793,0.000120685
163,124.135,133.321,133.3212295,0.00022949
164,136.988,135.027,135.027204,0.000204001
165,132.103,136.622,136.6216919,0.000308084
166,146.371,138.461,138.4613441,0.000344058
167,136.815,140.101,140.1007546,0.000245354
168,140.341,141.785,141.785043,4.29779E-05
169,144.582,143.527,143.5272802,0.000280174
170,154.116,145.426,145.4264118,0.000411819
171,146.541,147.16,147.1598351,0.000164902
172,142.687,148.798,148.7982583,0.000258305
173,145.426,150.466,150.4664315,0.000431513
174,151.366,152.225,152.2245835,0.000416543
175,149.886,153.932,153.9316391,0.000360896
176,153.83,155.691,155.6905811,0.000418872
177,156.267,157.472,157.4723731,0.000373103
178,157.67,159.257,159.2570912,9.12155E-05
179,157.916,161.023,161.0225655,0.000434534
180,157.44,162.755,162.7550346,3.4639E-05
181,161.976,164.55,164.5502153,0.000215337
182,175.198,166.573,166.5734596,0.000459559
183,173.685,168.541,168.5413716,0.00037157
184,168.556,170.385,170.3849875,1.24614E-05
185,168.168,172.196,172.1958643,0.000135723
186,166.232,173.944,173.9444502,0.000450188
187,169.742,175.736,175.7355831,0.000416892
188,171.085,177.527,177.5272389,0.000238896
189,178.7,179.44,179.4398172,0.000182765
190,170.674,181.172,181.1715585,0.000441472
191,185.626,183.166,183.1658352,0.000164782
192,175.298,184.934,184.9338247,0.000175254
193,193.174,187.02,187.0204559,0.000455887
194,183.544,188.893,188.8929757,2.42985E-05
195,185.373,190.774,190.7739558,4.42052E-05
196,195.337,192.82,192.8201335,0.000133483
197,184.426,194.627,194.6272029,0.000202867
198,192.479,196.563,196.5631668,0.000166822
199,195.004,198.52,198.5200785,7.84532E-05
200,206.707,200.675,200.6749455,5.44774E-05
201,196.043,202.594,202.5937318,0.000268189
202,195.23,204.469,204.4688051,0.000194919
203,200.038,206.409,206.4091362,0.000136237
204,203.782,208.393,208.3934794,0.000479386
205,219.849,210.66,210.6597019,0.000298087
206,217.168,212.842,212.8424459,0.000445877
207,222.986,215.107,215.1067967,0.000203332
208,217.306,217.229,217.2293671,0.000367121
209,213.411,219.246,219.2458871,0.000112924
210,228.781,221.53,221.5301746,0.000174646
211,220.844,223.628,223.6284064,0.000406367
212,231.887,225.91,225.9097045,0.000295525
213,217.541,227.881,227.8806024,0.000397602
214,223.175,229.931,229.9308366,0.000163364
215,222.609,231.939,231.939498,0.000498037
216,223.501,233.935,233.9351297,0.000129724
217,233.791,236.1,236.0998141,0.000185863
218,233.571,238.228,238.2282766,0.000276627
219,246.767,240.581,240.580658,0.000342012
220,236.992,242.71,242.7097256,0.000274448
221,241.953,244.903,244.9029739,2.61148E-05
222,250.808,247.235,247.2351403,0.000140322
223,238.795,249.3,249.3005071,0.000507087
224,243.566,251.427,251.4266909,0.000309118
225,257.566,253.792,253.7918324,0.000167635
226,260.843,256.186,256.1858044,0.000195646
227,248.665,258.309,258.3087919,0.000208072
228,258.305,260.586,260.5859907,9.282E-06
229,269.407,263.044,263.0441609,0.000160856
230,262.249,265.328,265.327698,0.000302028
231,268.335,267.695,267.6947525,0.000247536
232,277.652,270.207,270.2070208,2.08225E-05
233,276.999,272.67,272.669851,0.000149003
234,283.717,275.226,275.2264016,0.000401593
235,269.263,277.465,277.4654985,0.000498495
236,276.92,279.818,279.8184266,0.000426642
237,288.101,282.352,282.3522728,0.000272812
238,281.556,284.722,284.7218081,0.000191887
239,279.896,287.023,287.0231324,0.000132423
240,287.788,289.442,289.4418457,0.000154325
241,296.223,291.987,291.9872497,0.000249742
242,297.19,294.513,294.513361,0.000360991
243,303.17,297.117,297.1173646,0.000364574
244,295.801,299.54,299.5398148,0.000185241
245,298.111,301.97,301.9698372,0.000162757
246,294.663,304.296,304.295722,0.000277973
247,314.017,306.96,306.960086,8.59962E-05
248,297.872,309.272,309.2719204,7.95781E-05
249,311.252,311.806,311.8064443,0.000444312
250,318.13,314.435,314.4354874,0.000487389
251,316.861,317,317.0002157,0.000215708
252,319.784,319.582,319.5823456,0.000345618
253,311.379,321.962,321.9621459,0.000145894
254,329.374,324.653,324.6529142,8.57571E-05
255,323.118,327.182,327.1817537,0.000246309
256,333.683,329.876,329.8760023,2.32041E-06
257,329.969,332.457,332.4573245,0.000324498
258,325.284,334.908,334.9078686,0.000131413
259,328.695,337.386,337.3856559,0.000344066
260,335.583,339.958,339.9577197,0.000280334
261,331.735,342.415,342.4150245,2.45347E-05
262,335.374,344.904,344.9036601,0.000339889
263,351.493,347.665,347.6651212,0.000121152
264,342.87,350.217,350.2171866,0.00018658
265,352.138,352.909,352.9085118,0.000488198
266,359.27,355.696,355.6962854,0.000285428
267,348.9,358.24,358.2402028,0.000202778
268,351.791,360.8,360.7995463,0.000453725
269,354.874,363.378,363.3778057,0.000194283
