,data,given_kf,calc_kf,diff_given_calc
0,-7.464,0.005,0.0,0.005
1,7.216,0.02,0.005000000000000001,0.015
2,-5.316,0.045,0.0199998403700016,0.025000159629998398
3,-4.486,0.08,0.04499892287011927,0.03500107712988073
4,-3.69,0.125,0.07999647642162346,0.045003523578376545
5,1.747,0.18,0.12499727094384062,0.05500272905615937
6,-1.116,0.245,0.17999399704823746,0.06500600295176254
7,-1.802,0.32,0.24498567529299184,0.07501432470700817
8,5.635,0.405,0.3200128284951041,0.08498717150489593
9,10.122,0.5,0.4050946561440477,0.09490534385595228
10,0.86,0.605,0.5001149762232486,0.10488502377675135
11,-1.197,0.72,0.6051049235098667,0.11489507649013331
12,-3.291,0.845,0.7200390172595439,0.12496098274045608
13,-7.908,0.98,0.8448188306368565,0.1351811693631435
14,7.496,1.125,0.9800140790975591,0.1449859209024409
15,2.452,1.28,1.1250743491920479,0.15492565080795218
16,-8.523,1.444,1.2796038294564567,0.16439617054354327
17,-7.486,1.619,1.4440439020299325,0.1749560979700675
18,0.168,1.804,1.6188712482646261,0.1851287517353739
19,8.121,1.999,1.8043292349953244,0.19467076500467573
20,-4.878,2.203,1.9986235472900178,0.20437645270998206
21,-1.128,2.418,2.2031701666666272,0.2148298333333729
22,12.243,2.644,2.4193765754481675,0.2246234245518326
23,6.167,2.88,2.6449124114122013,0.23508758858779855
24,-6.428,3.123,2.878351224088109,0.24464877591189138
25,-1.24,3.377,3.1224544984360714,0.2545455015639284
26,6.584,3.642,3.37807879961772,0.26392120038227995
27,-4.197,3.915,3.6411091431024976,0.2738908568975025
28,10.994,4.202,3.917943854682723,0.28405614531727696
29,-2.607,4.494,4.200845657366913,0.2931543426330867
30,13.044,4.802,4.498669083273659,0.30333091672634094
31,2.62,5.116,4.802916511185831,0.3130834888141685
32,7.304,5.442,5.118876298197305,0.3231237018026949
33,15.105,5.782,5.448396459060811,0.33360354093918865
34,5.968,6.127,5.783829174469985,0.34317082553001477
35,16.065,6.488,6.1346134530180265,0.3533865469819739
36,15.652,6.86,6.4956796325096535,0.3643203674903468
37,4.842,7.234,6.860267798539288,0.3737322014607116
38,1.692,7.615,7.232269810102087,0.38273018989791296
39,6.961,8.01,7.6175352260147235,0.39246477398527624
40,-0.065,8.408,8.00673662990774,0.4012633700922592
41,9.671,8.825,8.413427911323716,0.4115720886762837
42,16.046,9.257,8.835913538837403,0.42108646116259685
43,4.993,9.688,9.257559892716047,0.4304401072839532
44,12.293,10.136,9.69625588607661,0.4397441139233891
45,20.272,10.604,10.154038897523119,0.44996110247688037
46,1.851,11.058,10.59967355835,0.4583264416499997
47,16.218,11.541,11.072680199948357,0.46831980005164375
48,10.602,12.025,11.547840295990667,0.47715970400933294
49,12.451,12.521,12.034991364290908,0.4860086357090925
50,6.422,13.017,12.521928211909314,0.4950717880906854
51,20.554,13.545,13.041016426291742,0.5039835737082576
52,15.988,14.076,13.562236953381689,0.5137630466183118
53,4.621,14.593,14.071516079640018,0.5214839203599819
54,9.064,15.126,14.597200789807626,0.5287992101923731
55,9.292,15.668,15.131436664706305,0.5365633352936943
56,10.314,16.22,15.675849455002835,0.544150544997164
57,15.316,16.793,16.23979969655419,0.5532003034458093
58,18.577,17.381,16.820292069926154,0.5607079300738462
59,22.586,17.99,17.420045797710703,0.5699542022892956
60,13.688,18.582,18.005253076414775,0.5767469235852261
61,20.689,19.203,18.617893082961885,0.5851069170381145
62,10.751,19.801,19.20977465639,0.5912253436099988
63,26.958,20.458,19.85849834505256,0.5995016549474386
64,21.957,21.108,20.50054513489038,0.6074548651096201
65,12.011,21.73,21.117136847313486,0.6128631526865149
66,25.868,22.41,21.788689393294423,0.6213106067055776
67,32.8,23.124,22.494466490917915,0.6295335090820835
68,24.215,23.813,23.17710668071521,0.63589331928479
69,33.165,24.547,23.9032960316536,0.6437039683464008
70,26.201,25.261,24.609908735155244,0.6510912648447551
71,31.869,26.007,25.34861138961557,0.6583886103844314
72,20.291,26.707,26.04373944468616,0.6632605553138404
73,18.157,27.401,26.734302733790624,0.6666972662093755
74,33.518,28.178,27.503863942981088,0.674136057018913
75,34.789,28.968,28.287814202072774,0.6801857979272263
76,38.268,29.785,29.097838128030613,0.687161871969387
77,28.604,30.556,29.864273913836357,0.6917260861636443
78,26.58,31.321,30.625013419166542,0.6959865808334591
79,28.552,32.101,31.401762008848703,0.6992379911512963
80,31.957,32.907,32.20353105853291,0.7034689414670865
81,31.246,33.713,33.00617487217373,0.7068251278262707
82,38.637,34.572,33.86028230480668,0.7117176951933217
83,34.014,35.406,34.690360049712886,0.7156399502871125
84,38.419,36.274,35.554557300410295,0.7194426995897061
85,35.44,37.125,36.40330543744732,0.7216945625526776
86,34.934,37.976,37.25235009717263,0.7236499028273684
87,43.406,38.894,38.16685161214123,0.7271483878587688
88,35.457,39.756,39.0265404158998,0.7294595841001978
89,30.654,40.581,39.851442623975196,0.7295573760248075
90,50.203,41.565,40.83246657746204,0.732533422537955
91,37.816,42.451,41.717903360293136,0.733096639706865
92,39.117,43.35,42.61578014940321,0.7342198505967943
93,43.979,44.292,43.556767799425245,0.7352322005747567
94,46.175,45.255,44.51926310075702,0.7357368992429798
95,44.708,46.207,45.47081547337506,0.7361845266249389
96,41.183,47.126,46.39120919777879,0.7347908022212053
97,57.62,48.203,47.4662276298793,0.7367723701207041
98,49.07,49.199,48.462585908789144,0.7364140912108539
99,55.408,50.259,49.52207015074479,0.7369298492552119
100,46.685,51.231,50.49577751885808,0.7352224811419248
101,46.402,52.199,51.46557166520736,0.7334283347926416
