index,time,accX,accY,accZ,gyroX,gyroY,gyroZ
102,7.56,-0.045,0.009,1.077,4.272,2.319,3.23
103,7.571,-0.046,0.013,1.107,4.211,2.747,3.54
104,7.582,-0.039,0.017,1.059,4.7,2.502,3.41
105,7.593,-0.056,0.008,1.067,4.944,3.357,3.11
106,7.604,-0.042,0.017,1.068,4.883,2.686,3.72
107,7.615,-0.049,0.006,1.074,4.272,2.93,3.35
108,7.626,-0.049,0.027,1.093,4.089,2.869,3.41
109,7.637,-0.046,0.026,1.082,4.089,2.441,3.41
110,7.648,-0.041,0.022,1.067,4.456,2.991,3.84
111,7.659,-0.039,0.015,1.098,4.456,3.052,3.54
112,7.67,-0.039,0.016,1.064,4.395,2.319,3.66
113,7.681,-0.042,0.006,1.094,3.906,3.052,3.41
114,7.692,-0.051,0.012,1.071,3.906,2.014,3.17
115,7.703,-0.046,0.022,1.062,4.211,2.686,3.29
116,7.714,-0.049,0.012,1.076,3.967,2.686,3.84
117,7.725,-0.047,0.028,1.073,4.7,2.563,3.17
118,7.736,-0.037,0.019,1.079,4.333,2.869,3.66
119,7.747,-0.031,0.029,1.07,4.578,2.319,3.41
120,7.758,-0.032,0.02,1.08,4.272,2.808,3.6
121,7.769,-0.039,0.015,1.075,4.456,2.686,3.29
122,7.78,-0.046,0.002,1.093,4.517,2.686,3.54
123,7.791,-0.051,0.019,1.075,4.15,2.625,3.54
124,7.802,-0.032,0.025,1.089,3.967,2.502,3.41
125,7.813,-0.045,0.003,1.087,4.089,2.686,3.78
126,7.824,-0.038,0.017,1.084,3.967,2.93,3.47
127,7.835,-0.05,0.011,1.076,4.395,2.991,3.54
128,7.846,-0.056,0.017,1.09,4.089,2.625,3.29
129,7.857,-0.029,0.025,1.067,4.028,2.686,3.66
130,7.868,-0.046,0.013,1.078,4.211,2.441,3.23
131,7.879,-0.034,0.02,1.071,4.822,2.625,3.9
132,7.89,-0.042,0.028,1.074,4.944,2.93,3.66
133,7.901,-0.046,0.016,1.076,4.028,2.625,3.72
134,7.912,-0.035,0.018,1.067,4.211,2.686,3.23
135,7.923,-0.04,0.014,1.06,4.822,3.052,4.02
136,7.934,-0.048,0.021,1.068,4.272,2.319,3.29
137,7.945,-0.031,0.025,1.07,4.028,3.052,3.9
138,7.956,-0.039,0.023,1.085,5.066,3.235,4.02
139,7.967,-0.047,0.023,1.08,4.456,2.93,3.6
140,7.978,-0.045,0.016,1.103,4.395,2.502,3.41
141,7.989,-0.056,0.001,1.09,3.967,2.136,3.47
142,8.0,-0.054,0.019,1.071,4.272,2.747,3.29
143,8.011,-0.042,0.028,1.068,4.333,2.441,3.29
144,8.022,-0.036,0.033,1.064,4.333,2.686,3.6
145,8.033,-0.042,0.028,1.078,4.456,2.808,3.23
146,8.044,-0.046,0.028,1.072,4.395,2.502,3.66
147,8.055,-0.042,0.013,1.085,4.211,2.869,3.47
148,8.066,-0.043,0.013,1.085,4.089,2.808,3.29
149,8.077,-0.033,0.028,1.082,4.883,2.747,3.47
150,8.088,-0.031,0.027,1.068,3.967,2.625,3.11
151,8.099,-0.047,0.018,1.083,4.272,2.808,3.11
152,8.11,-0.04,0.014,1.074,4.456,2.563,3.6
153,8.121,-0.042,0.018,1.087,4.883,2.747,3.66
154,8.132,-0.049,0.024,1.077,3.662,2.502,3.54
155,8.143,-0.042,0.018,1.076,3.784,2.869,2.99
156,8.154,-0.059,0.016,1.077,4.578,2.686,3.47
157,8.165,-0.029,0.027,1.089,4.272,2.808,3.05
158,8.176,-0.046,0.016,1.084,4.089,2.441,3.35
159,8.187,-0.047,0.017,1.066,4.211,2.747,3.29
160,8.198,-0.05,0.014,1.092,4.395,2.991,3.29
161,8.209,-0.039,0.013,1.077,3.662,2.136,2.99
162,8.22,-0.035,0.027,1.061,4.456,3.052,3.17
163,8.231,-0.047,0.019,1.08,4.517,2.686,3.29
164,8.242,-0.054,0.021,1.062,4.089,2.747,3.05
165,8.253,-0.044,0.018,1.086,4.822,2.991,3.54
166,8.264,-0.042,0.017,1.082,4.578,3.113,3.78
167,8.275,-0.035,0.017,1.084,4.028,2.747,3.41
168,8.286,-0.033,0.019,1.071,4.15,2.686,3.54
169,8.297,-0.037,0.024,1.093,4.089,2.686,3.6
170,8.308,-0.041,0.025,1.081,3.418,2.625,3.41
171,8.319,-0.034,0.017,1.074,4.517,2.808,3.66
172,8.33,-0.045,0.027,1.067,4.089,2.808,3.29
173,8.341,-0.052,0.021,1.077,3.967,2.93,3.47
174,8.352,-0.041,0.019,1.089,5.005,2.869,3.54
175,8.363,-0.041,0.021,1.076,4.333,2.808,4.15
176,8.374,-0.047,0.027,1.058,4.395,2.686,3.41
177,8.385,-0.044,0.011,1.085,4.028,2.563,3.11
178,8.396,-0.048,0.016,1.053,3.845,2.747,3.17
179,8.407,-0.039,0.025,1.074,4.395,2.258,2.99
180,8.418,-0.047,0.02,1.091,4.456,2.747,3.05
181,8.429,-0.042,0.028,1.058,3.784,2.991,3.35
182,8.44,-0.031,0.015,1.075,4.639,2.808,3.9
183,8.451,-0.022,0.026,1.075,4.456,2.502,3.9
184,8.462,-0.036,0.011,1.083,3.235,2.319,3.23
185,8.473,-0.039,0.021,1.109,4.7,2.991,3.35
186,8.484,-0.037,0.012,1.095,4.395,2.686,3.17
187,8.495,-0.05,0.01,1.063,4.456,3.174,3.41
188,8.506,-0.043,0.023,1.096,4.211,2.563,3.54
189,8.517,-0.039,0.02,1.084,4.395,2.991,3.66
190,8.528,-0.042,0.02,1.06,4.211,2.136,3.54
191,8.539,-0.054,0.03,1.076,4.761,2.869,3.41
192,8.55,-0.034,0.023,1.07,4.089,2.869,3.84
193,8.561,-0.048,0.012,1.081,4.395,2.319,3.72
194,8.572,-0.032,0.022,1.093,4.211,3.113,3.11
195,8.583,-0.063,0.02,1.07,4.639,3.052,2.86
196,8.594,-0.051,0.022,1.091,3.418,2.869,3.17
197,8.605,-0.04,0.026,1.075,4.761,2.747,3.9
198,8.616,-0.048,0.026,1.049,3.845,3.052,3.23
199,8.627,-0.044,0.022,1.086,3.784,2.563,3.17
200,8.638,-0.038,0.034,1.052,4.15,2.869,3.66
201,8.649,-0.039,0.021,1.064,4.089,2.625,3.41
202,8.66,-0.03,0.015,1.081,3.906,2.747,2.8
203,8.671,-0.044,0.03,1.073,4.517,2.747,3.66
204,8.682,-0.034,0.029,1.089,3.906,2.625,3.78
205,8.693,-0.047,0.02,1.106,4.272,2.502,3.11
206,8.704,-0.052,0.03,1.076,4.089,2.625,2.8
207,8.715,-0.032,0.023,1.095,4.822,3.052,3.66
208,8.726,-0.06,0.016,1.071,4.517,2.441,3.35
209,8.737,-0.05,0.017,1.07,4.333,3.174,3.47
210,8.748,-0.045,0.015,1.067,4.395,2.502,3.35
211,8.759,-0.051,0.028,1.067,4.15,2.869,3.54
212,8.77,-0.043,0.017,1.075,4.211,2.502,3.29
213,8.781,-0.043,0.03,1.065,4.211,2.014,3.35
214,8.792,-0.047,0.003,1.088,3.723,2.38,3.35
215,8.803,-0.053,0.018,1.084,3.906,2.38,3.54
216,8.814,-0.047,0.016,1.079,3.601,2.136,3.41
217,8.825,-0.044,0.025,1.071,3.784,2.808,3.29
218,8.836,-0.051,0.009,1.072,4.395,2.625,3.72
219,8.847,-0.05,0.025,1.067,3.967,2.38,3.66
220,8.858,-0.03,0.032,1.062,4.456,2.808,3.84
221,8.869,-0.054,0.025,1.081,4.456,2.563,3.54
222,8.88,-0.05,0.017,1.09,4.822,2.93,3.72
223,8.891,-0.038,0.018,1.101,4.272,2.319,3.05
224,8.902,-0.03,0.023,1.072,4.944,2.686,3.6
225,8.913,-0.033,0.029,1.088,4.822,2.686,3.35
226,8.924,-0.041,0.034,1.068,4.456,2.625,3.9
227,8.935,-0.042,0.019,1.059,4.639,2.319,3.41
228,8.946,-0.045,0.01,1.078,4.395,2.563,3.41
